Cohort,Settlement.Date,Family,Facility,Tank,TaskID,Inventory.Date,Age.Month,Total.Animals,Mean.Size
2020,7/30/2020,GR18 X GR17,MCR,B14,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR17,MCR,B19,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR24,MCR,B12,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR24,MCR,C32,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR24,MCR,C38,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X OR48,MCR,B35,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X OR48,MCR,B38,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X OR48,MCR,C09,Inventory_0,7/30/2020,0,29000,0
2020,7/30/2020,GR18 X OR48,MCR,C40,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X OR87,MCR,B10,Inventory_0,7/30/2020,0,30400,0
2020,7/30/2020,GR18 X OR87,MCR,B22,Inventory_0,7/30/2020,0,30400,0
2020,7/30/2020,GR18 X OR87,MCR,C24,Inventory_0,7/30/2020,0,30400,0
2020,7/30/2020,GR18 X OR87,MCR,C28,Inventory_0,7/30/2020,0,30400,0
2020,7/30/2020,GR18 X OR91,MCR,B05,Inventory_0,7/30/2020,0,30400,0
2020,7/30/2020,GR18 X OR91,MCR,B34,Inventory_0,7/30/2020,0,30400,0
2020,7/30/2020,GR18 X OR95,MCR,B17,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X OR95,MCR,B37,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X OR95,MCR,C20,Inventory_0,7/30/2020,0,24200,0
2020,7/30/2020,GR18 X OR95,MCR,C33,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR26 X GR13,MCR,C27,Inventory_0,7/30/2020,0,19200,0
2020,7/30/2020,GR26 X GR13,MCR,C34,Inventory_0,7/30/2020,0,19200,0
2020,7/30/2020,GR26 X GR13,MCR,C37,Inventory_0,7/30/2020,0,19200,0
2020,7/30/2020,GR26 X OR48,MCR,B13,Inventory_0,7/30/2020,0,24000,0
2020,7/30/2020,GR26 X OR48,MCR,C22,Inventory_0,7/30/2020,0,24000,0
2020,8/13/2020,GR23 X GR25,MCR,C12,Inventory_0,8/13/2020,0,18800,0
2020,8/13/2020,GR23 X GR25,MCR,C40,Inventory_0,8/13/2020,0,18800,0
2020,8/13/2020,GR23 X OR44,MCR,C15,Inventory_0,8/13/2020,0,16800,0
2020,8/13/2020,GR23 X OR44,MCR,C39,Inventory_0,8/13/2020,0,16800,0
2020,8/13/2020,GR23 X OR46,MCR,B31,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR46,MCR,D03,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR46,MCR,D12,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR85,MCR,B26,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR85,MCR,C11,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR86,MCR,B23,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR86,MCR,D01,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR87,MCR,B32,Inventory_0,8/13/2020,0,25000,0
2020,8/13/2020,GR23 X OR87,MCR,D02,Inventory_0,8/13/2020,0,25000,0
2020,7/9/2020,GR27 X GR09,MCR,B39,Inventory_1,12/15/2020,5,7,4.857
2020,6/25/2020,GR02 X GR20,MCR,B07,Inventory_1,12/24/2020,5,687,3.423
2020,6/25/2020,GR02 X OR91,MCR,B18,Inventory_1,12/24/2020,5,454,2.367
2020,7/9/2020,GR27 X GR12,MCR,C23,Inventory_1,12/29/2020,5,638,2.793
2020,7/9/2020,GR27 X OR50,MCR,C35,Inventory_1,12/29/2020,5,818,3.7
2020,7/9/2020,GR27 X GR07,MCR,C26,Inventory_1,12/29/2020,5,568,2.22
2020,7/9/2020,GR27 X GR09,MCR,C36,Inventory_1,12/29/2020,5,425,3.09
2020,7/9/2020,GR27 X GR07,MCR,B11,Inventory_1,12/29/2020,5,107,5.96
2020,7/9/2020,GR27 X GR09,MCR,B15,Inventory_1,1/6/2021,5,492,2.9
2020,7/9/2020,GR27 X GR07,MCR,B16,Inventory_1,1/6/2021,5,445,2.12
2020,7/9/2020,GR27 X GR11,MCR,B01,Inventory_1,1/6/2021,5,575,3.98
2020,7/9/2020,GR27 X GR11,MCR,B06,Inventory_1,1/6/2021,5,376,4.187
2020,7/9/2020,GR27 X GR12,MCR,B04,Inventory_1,1/6/2021,5,386,2.797
2020,7/9/2020,GR27 X GR09,MCR,B36,Inventory_1,1/7/2021,5,1048,2.98
2020,7/9/2020,GR27 X OR50,MCR,C30,Inventory_1,1/7/2021,5,1333,3.43
2020,7/9/2020,GR27 X GR12,MCR,C29,Inventory_1,1/7/2021,5,601,2.277
2020,7/9/2020,GR28 X OR50,MCR,B29,Inventory_1,1/7/2021,5,136,4.69
2020,7/9/2020,GR16 X GR07,MCR,B33,Inventory_1,1/8/2021,5,753,2.91
2020,6/11/2020,"GR26 X GR17, GR24",MCR,B40,Inventory_1,1/11/2021,7,1439,5.11
2020,6/11/2020,GR26 X OR14,MCR,C31,Inventory_1,1/11/2021,7,339,8.58
2020,6/11/2020,GR26 X GR24,MCR,C21,Inventory_1,1/11/2021,7,369,6.433
2020,7/9/2020,GR27 X OR50,MCR,B21,Inventory_1,1/11/2021,6,737,3.82
2020,7/9/2020,GR27 X OR50,MCR,B24,Inventory_1,1/11/2021,6,735,3.14
2020,6/11/2020,GR26 X GR17,MCR,C25,Inventory_1,1/14/2021,7,811,3.63
2020,6/11/2020,GR26 X OR44,MCR,B28,Inventory_1,1/13/2021,7,1258,3.56
2020,7/9/2020,GR27 X GR07,MCR,B27,Inventory_1,1/14/2021,6,570,3.2
2020,6/11/2020,GR26 X OR14,MCR,B09,Inventory_1,1/14/2021,7,496,3.92
